tempo_seq, tempo_conc, n_threads, n_linhas, n_colunas
0.992908, 0.975675, 1, 500, 500
0.963766, 0.972909, 1, 500, 500
0.990274, 0.984265, 1, 500, 500
5.551841, 5.907992, 1, 1000, 1000
5.716306, 5.818874, 1, 1000, 1000
5.583011, 5.503378, 1, 1000, 1000
47.889713, 47.675011, 1, 2000, 2000
47.732971, 47.274198, 1, 2000, 2000
48.369410, 47.991666, 1, 2000, 2000
0.988704, 0.571230, 2, 500, 500
0.970990, 0.563367, 2, 500, 500
0.982449, 0.567136, 2, 500, 500
5.544719, 2.953129, 2, 1000, 1000
5.615901, 2.935200, 2, 1000, 1000
5.738720, 2.922940, 2, 1000, 1000
50.641933, 24.367426, 2, 2000, 2000
48.375856, 24.133466, 2, 2000, 2000
48.234201, 24.127205, 2, 2000, 2000
1.001132, 0.363370, 4, 500, 500
0.964251, 0.340128, 4, 500, 500
0.977172, 0.343347, 4, 500, 500
5.661381, 1.998541, 4, 1000, 1000
5.582055, 1.667985, 4, 1000, 1000
5.565564, 1.693653, 4, 1000, 1000
49.540452, 12.442996, 4, 2000, 2000
48.061952, 12.149210, 4, 2000, 2000
47.913828, 12.226319, 4, 2000, 2000
1.010471, 0.327561, 8, 500, 500
0.963747, 0.311438, 8, 500, 500
0.966581, 0.334224, 8, 500, 500
5.411136, 1.415749, 8, 1000, 1000
5.686811, 1.367558, 8, 1000, 1000
5.571944, 1.346462, 8, 1000, 1000
48.397580, 9.863402, 8, 2000, 2000
49.045153, 9.874317, 8, 2000, 2000
49.298319, 10.038645, 8, 2000, 2000
0.989146, 0.286522, 12, 500, 500
0.957695, 0.279292, 12, 500, 500
0.962671, 0.272571, 12, 500, 500
5.598026, 1.327452, 12, 1000, 1000
5.602269, 1.290163, 12, 1000, 1000
5.610868, 1.178963, 12, 1000, 1000
49.619070, 8.923837, 12, 2000, 2000
49.819553, 8.987282, 12, 2000, 2000
48.503417, 8.894400, 12, 2000, 2000
